#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         0.25902     0.000754413     0.000754413     0.000754413
        0.275423     0.000663021     0.000663021     0.000663021
        0.292864     0.000581079     0.000581079     0.000581079
        0.311411     0.000521125     0.000521125     0.000521125
        0.331131     0.000462112     0.000462112     0.000462112
        0.352101     0.000404867     0.000404867     0.000404867
        0.374398     0.000359459     0.000359459     0.000359459
        0.398107     0.000316676     0.000316676     0.000316676
        0.423318     0.000278352     0.000278352     0.000278352
        0.450125     0.000245428     0.000245428     0.000245428
         0.47863     0.000215274     0.000215274     0.000215274
         0.50894       0.0001892       0.0001892       0.0001892
         0.54117     0.000165787     0.000165787     0.000165787
         0.57544     0.000145306     0.000145306     0.000145306
        0.611881     0.000127148     0.000127148     0.000127148
        0.650629     0.000111183     0.000111183     0.000111183
        0.691831     9.71395e-05     9.71395e-05     9.71395e-05
        0.735642     8.47831e-05     8.47831e-05     8.47831e-05
        0.782228     7.39387e-05     7.39387e-05     7.39387e-05
        0.831764     6.44297e-05     6.44297e-05     6.44297e-05
        0.884437     5.60969e-05     5.60969e-05     5.60969e-05
        0.940445      4.8802e-05      4.8802e-05      4.8802e-05
               1     4.24224e-05     4.24224e-05     4.24224e-05
         1.06333     3.68486e-05     3.68486e-05     3.68486e-05
         1.13066     3.19832e-05     3.19832e-05     3.19832e-05
         1.20226     2.77398e-05     2.77398e-05     2.77398e-05
          1.2784     2.40421e-05     2.40421e-05     2.40421e-05
         1.35936     2.08231e-05     2.08231e-05     2.08231e-05
         1.44544     1.80225e-05     1.80225e-05     1.80225e-05
         1.53697     1.55881e-05     1.55881e-05     1.55881e-05
         1.63431     1.34738e-05     1.34738e-05     1.34738e-05
          1.7378     1.16387e-05     1.16387e-05     1.16387e-05
         1.84785     1.00473e-05     1.00473e-05     1.00473e-05
         1.96487     8.66808e-06     8.66808e-06     8.66808e-06
          2.0893     7.47373e-06     7.47373e-06     7.47373e-06
          2.2216     6.44016e-06     6.44016e-06     6.44016e-06
         2.36229     5.54633e-06     5.54633e-06     5.54633e-06
         2.51189     4.77385e-06     4.77385e-06     4.77385e-06
         2.67096     4.10671e-06     4.10671e-06     4.10671e-06
          2.8401      3.5309e-06      3.5309e-06      3.5309e-06
         3.01995     3.03422e-06     3.03422e-06     3.03422e-06
         3.21119     2.60607e-06     2.60607e-06     2.60607e-06
         3.41455      2.2372e-06      2.2372e-06      2.2372e-06
         3.63078      1.9196e-06      1.9196e-06      1.9196e-06
         3.86071      1.6463e-06      1.6463e-06      1.6463e-06
         4.10519     1.41124e-06     1.41124e-06     1.41124e-06
         4.36516     1.20919e-06     1.20919e-06     1.20919e-06
         4.64159      1.0356e-06      1.0356e-06      1.0356e-06
